Date;Price
1/1/2024;2063,3
29/12/2023;2057,75
28/12/2023;2065,89
27/12/2023;2061
26/12/2023;2053,59
25/12/2023;2053,96
22/12/2023;2045,65
21/12/2023;2029,44
20/12/2023;2029,37
19/12/2023;2021,74
18/12/2023;2015,99
15/12/2023;2015,68
14/12/2023;2024,33
13/12/2023;1973,09
12/12/2023;1977,19
11/12/2023;1975,95
8/12/2023;1994,74
7/12/2023;2020,26
6/12/2023;2017,27
5/12/2023;2010,02
4/12/2023;2020,34
1/12/2023;2033,75
30/11/2023;2031,84
29/11/2023;2035,05
28/11/2023;2011,6
27/11/2023;2000,67
24/11/2023;1991,4
23/11/2023;1989,01
22/11/2023;1986,89
21/11/2023;1977,34
20/11/2023;1965,2
17/11/2023;1978,59
16/11/2023;1956,49
15/11/2023;1955,41
14/11/2023;1943,4
13/11/2023;1931,73
10/11/2023;1933,18
9/11/2023;1944,3
8/11/2023;1947,48
7/11/2023;1956,2
6/11/2023;1977,52
3/11/2023;1983,26
2/11/2023;1978,9
1/11/2023;1969,9
31/10/2023;1978,9
30/10/2023;1990,5
27/10/2023;1976,35
26/10/2023;1971,6
25/10/2023;1963,34
24/10/2023;1953,5
23/10/2023;1964,36
20/10/2023;1971,93
19/10/2023;1945,18
18/10/2023;1923,05
17/10/2023;1911,85
16/10/2023;1907,65
13/10/2023;1868,94
12/10/2023;1866,92
11/10/2023;1858,6
10/10/2023;1852,65
9/10/2023;1832,63
6/10/2023;1810,1
5/10/2023;1812,7
4/10/2023;1816,15
3/10/2023;1814,7
2/10/2023;1826,6
29/9/2023;1846,34
28/9/2023;1857,76
27/9/2023;1872,47
26/9/2023;1899,17
25/9/2023;1915
22/9/2023;1919,58
21/9/2023;1913,4
20/9/2023;1927,9
19/9/2023;1929,71
18/9/2023;1922,15
15/9/2023;1909,74
14/9/2023;1900,95
13/9/2023;1905,5
12/9/2023;1907,15
11/9/2023;1916,9
8/9/2023;1917,36
7/9/2023;1916,1
6/9/2023;1914,8
5/9/2023;1925,22
4/9/2023;1936,15
1/9/2023;1934,59
31/8/2023;1938,86
30/8/2023;1934,94
29/8/2023;1914
28/8/2023;1912,83
25/8/2023;1903,4
24/8/2023;1911,35
23/8/2023;1897,23
22/8/2023;1888,6
21/8/2023;1884,5
18/8/2023;1886,2
17/8/2023;1884,5
16/8/2023;1891,3
15/8/2023;1896,15
14/8/2023;1902,2
11/8/2023;1910,94
10/8/2023;1911,73
9/8/2023;1914,05
8/8/2023;1922,5
7/8/2023;1931,53
4/8/2023;1929,75
3/8/2023;1929,55
2/8/2023;1933
1/8/2023;1941,2
31/7/2023;1951
28/7/2023;1944,27
27/7/2023;1942,61
26/7/2023;1961,99
25/7/2023;1953,21
24/7/2023;1953,42
21/7/2023;1956,82
20/7/2023;1965,4
19/7/2023;1969,75
18/7/2023;1954,44
17/7/2023;1945,82
